,sources_quote,label
0,look average teacher pay compared average pay citizen virginia rank last,1
1,hardworking lawabiding citizen earns 80000 dont get stimulus check convicted murderer rapist sitting jail,1
2,became governor banned sanctuary city also everify,1
3,pot today weed baby boomer smoking,1
4,saw increase unaccompanied minor southern u border dating back almost year,1
5,senate democrat voted give stimulus check criminal prison,1
6,georgia house passed bill make misdemeanor give food water voter waiting line,1
7,filibuster never idea founding father,1
8,aberdeen miss massive 78 mailin ballot proved fraudulent judge order election doover,1
9,pipeline freeze naturally insulated theyre buried beneath ground,1
10,national academy medicine point significant correlation marijuana psychosis schizophrenia psychotic disorder particularly teenager risk developing schizophrenia increase three fold,1
11,twice many child border patrol custody biden trump peak 2019,1
12,say gov tony evers 202122 state budget increase tax 1 billion,1
13,people dont pretend someone else go vote dont see kind fraud,1
14,u rep matt gaetz lone vote house antihuman trafficking bill,1
15,school voucher bill iowa legislature considering would give education tax dollar corporation,1
16,say oil gas industry comprises 35 texas economy,1
17,jurisdiction representing 80 wi resident passed referendum resolution favor fair map,1
18,insulin price gone thru roof patientstaxpayers bc manufacturer health plan pbm biz practice,1
19,north carolina secretary state elaine marshall statewide race probably anyone else alive,1
20,mask negative impact 68 child,1
21,image show national guard capitol black life matter protest dc,1
22,say activist threatened family screamed threat vandalized tried pound open door,1
23,school consistently implementing covid19 mitigation strategy remain among safest place student,1
24,restored felon right 173000 governor history america,1
25,republican recently passed bill eliminate early voting sunday georgia,1
26,bull shark released arkansas river,1
27,suez canal blocked huge container ship named evergreen evergreen shipping likely cover human sex trafficking hillary clinton,1
28,80 people taking moderna vaccine significant side effect via bill gate,1
29,border surge challenging immigration system place decade dismantled entirety trump administration,1
30,president joe bidens american relief plan lot money school really look say school money going go year 2028,1
31,racism physically built highway,1
32,say bidens ban new federal lease kill 120000 texas job,1
33,joe biden admits governing like dictator,1
34,say bill gate said least 3 billion people need die planet,1
35,paris climate agreement bad america nothing hold real polluter like communist china india accountable,1
36,new york trying pas bill would allow round non mask wearer people dont want take vaccine concentration camp court order force vaccinate,1
37,pritzkers hierarchy vaccine priority put prisoner politician college student ahead individual highrisk health factor everyone else,1
38,major water main break georgia election worker counted 18000 ballot biden pulled suitcase election observer present,1
39,raising national minimum wage 15 per hour would destroy 37 million job,1
40,georgia easily hundred thousand vote,1
41,subsidizing investment wind pushed gas nuclear live consequence,1
42,say joe biden said racial slur,1
43,say video capture sound surface mar,1
44,say cocacola ceo james quincey said right winged nut wont affect bottom line,1
45,antifa culprit capitol riot,1
46,photo show democratic lawmaker wearing clothing mask nazi swastika,1
47,hr 1 automatically register every welfare recipient vote,1
48,science data say perfectly safe teacher student classroom,1
49,say jill biden said whatever hunter laptop important,1
50,columbia school building district lowest test score boone county,1
51,second presidential impeachment donald trump bipartisan impeachment american history,1
52,bidens air force one trump air force one indicates biden real president,1
53,photo show joe biden asleep desk,1
54,say joe biden said buy man eat fish day teach fish man lifetime,1
